survival_prob,ci_lower,ci_upper,Group,GraftTime
0.9781887475268967,0.9758301967095696,0.980319471648574,Nationwide,27.0
0.9779434183532745,0.9755726371112584,0.9800864593554922,Nationwide,28.0
0.9773300954192181,0.9749290533841355,0.9795036134083228,Nationwide,29.0
0.976226114137915,0.9737716907651353,0.9784534027956879,Nationwide,30.0
0.9754900803750567,0.9730008030326135,0.97775248225335,Nationwide,31.0
0.9750607273467221,0.9725513790222027,0.9773433514903419,Nationwide,32.0
0.9747540466121986,0.9722304760145993,0.9770510011113909,Nationwide,33.0
0.9744473465786533,0.9719096450040942,0.9767585399868673,Nationwide,34.0
0.9737725640283006,0.9712040903973453,0.9761147666595733,Nationwide,35.0
0.973404500819017,0.9708194234434581,0.9757634366101636,Nationwide,36.0
0.9728523712099306,0.9702426175127304,0.9752361772247875,Nationwide,37.0
0.9722388938665026,0.9696020406254298,0.9746500149736391,Nationwide,38.0
0.9719321551947876,0.969281874700824,0.9743568113673444,Nationwide,39.0
0.9715640223161073,0.9688977301830531,0.974004819171741,Nationwide,40.0
0.9712572449172063,0.9685776961843559,0.9737114059433177,Nationwide,41.0
0.9706436513579698,0.9679378165015065,0.9731243134452511,Nationwide,42.0
0.9702753322390641,0.9675538552981507,0.9727717642178052,Nationwide,43.0
0.9699683996399753,0.9672339688451832,0.9724778920372945,Nationwide,44.0
0.9697842400805222,0.9670420719219078,0.9723015338054888,Nationwide,45.0
0.969231761402162,0.9664665358123656,0.9717723045587747,Nationwide,46.0
0.9689247899188527,0.9661468497648444,0.9714781540980187,Nationwide,47.0
0.9685564241388805,0.9657633177495794,0.9711250823734473,Nationwide,48.0
0.9683722295732756,0.9655715758638407,0.9709484989843286,Nationwide,49.0
0.9680038404420646,0.9651881647441567,0.9705952596118327,Nationwide,50.0
0.9676354513108559,0.9648048491501878,0.9702419247883183,Nationwide,51.0
0.9673898273861669,0.9645493238243905,0.9700062873240456,Nationwide,52.0
0.9670827974803077,0.9642299752264476,0.9697116824835265,Nationwide,53.0
0.9664686986757108,0.9635914259339435,0.9691222468156985,Nationwide,54.0
0.9660388295124925,0.9631445894672082,0.9687094939373992,Nationwide,55.0
0.9658545998711134,0.9629531247919987,0.9685325632100203,Nationwide,56.0
0.9655475504688138,0.9626340652555914,0.9682376304490863,Nationwide,57.0
0.9653019109469746,0.9623788606091868,0.9680016412931856,Nationwide,58.0
0.9649334516642165,0.9619961243638848,0.9676475868928747,Nationwide,59.0
0.9644421726205384,0.9614859393933844,0.967175384440781,Nationwide,60.0
0.9639508935768608,0.9609759003109618,0.9667030362163693,Nationwide,61.0
0.9635824342941017,0.9605934650124467,0.9663486811081501,Nationwide,62.0
0.9633981929108721,0.960402264460617,0.9661714629256934,Nationwide,63.0
0.9629068512340097,0.9598924582846149,0.9656987563927141,Nationwide,64.0
0.9624154782155825,0.9593827555642085,0.965225883652959,Nationwide,65.0
0.9621083504780883,0.959064238792091,0.9649302515064292,Nationwide,66.0
0.9617397971930933,0.9586820873163822,0.9645754243404983,Nationwide,67.0
0.9616783677221427,0.9586183983802842,0.9645162756400852,Nationwide,68.0
0.9614940793092926,0.9584273438464663,0.964338817275549,Nationwide,69.0
0.9611869319545429,0.9581089602572417,0.964043012737615,Nationwide,70.0
0.961002643541694,0.9579179542802742,0.9638655058599982,Nationwide,71.0
0.9607569099500433,0.9576632906474952,0.9636287875420764,Nationwide,72.0
0.9605111606445172,0.9574086417536667,0.9633920230001239,Nationwide,73.0
0.9602654113389925,0.9571540242737643,0.9631552270742028,Nationwide,74.0
0.9600196620334674,0.9568994379286122,0.9629184000429802,Nationwide,75.0
0.9597739127279432,0.956644882443294,0.9626815421808816,Nationwide,76.0
0.959528147690435,0.9563903405941082,0.9624446391627788,Nationwide,77.0
0.9589136170463386,0.9557539909574448,0.9618521400343952,Nationwide,78.0
0.9586063517242909,0.9554358860133659,0.9615558206699144,Nationwide,79.0
0.9583605237074367,0.9551814181806273,0.9613187174899829,Nationwide,80.0
0.958176152694796,0.9549905864481382,0.9611408709835414,Nationwide,81.0
0.9578688479633353,0.9546725485072161,0.9608444057094572,Nationwide,82.0
0.9576229726253485,0.9544181164875286,0.9606071719258034,Nationwide,83.0
0.9572541596183682,0.9540365217212708,0.9602512680487901,Nationwide,84.0
0.9569467957089091,0.953718553185402,0.9599546148644408,Nationwide,85.0
