DON_OPO,CAS_Period,Mean_LUNDON,Median_LUNDON,N,LUNDON_Group
MNOP,Pre-CAS,59.64687924524182,63.123544359958075,179,Transplanted
MOMA,Post-CAS,50.90392579491693,50.47641794526352,122,Transplanted
MOMA,Pre-CAS,55.35884227474357,58.63238517672826,259,Transplanted
MSOP,Post-CAS,69.73000220378863,75.33912456263886,50,Transplanted
MSOP,Pre-CAS,72.25059931086659,78.3876751028148,97,Transplanted
MWOB,Post-CAS,60.71429882364756,65.7460367452333,172,Transplanted
MWOB,Pre-CAS,63.32648443266931,67.63850114233452,334,Transplanted
NCCM,Post-CAS,52.89943421989113,54.53564783136907,90,Transplanted
NCCM,Pre-CAS,57.344673824746536,60.05309731375135,164,Transplanted
NCNC,Post-CAS,52.772032537347116,54.93620257024817,76,Transplanted
NCNC,Pre-CAS,53.63084820496896,55.80320489778737,190,Transplanted
NEOR,Post-CAS,50.704074696961584,44.51780221925971,48,Transplanted
NEOR,Pre-CAS,56.02894181954114,56.49556891669632,48,Transplanted
NJTO,Post-CAS,45.4791961221082,42.86436602746703,59,Transplanted
NJTO,Pre-CAS,47.58701131268804,47.51265350938177,118,Transplanted
NMOP,Post-CAS,39.41061078234522,38.739628180339636,8,Transplanted
NMOP,Pre-CAS,50.49596320274898,45.82276258327971,22,Transplanted
NVLV,Post-CAS,57.46326577700403,60.677401357172315,140,Transplanted
NVLV,Pre-CAS,52.283710460312754,55.23882117277166,165,Transplanted
NYAP,Post-CAS,54.4705992036036,58.09854901886396,44,Transplanted
NYAP,Pre-CAS,53.95718589664634,54.74882921384754,66,Transplanted
NYFL,Post-CAS,49.49302873895447,55.81771029919405,15,Transplanted
NYFL,Pre-CAS,52.03609506884171,56.26260506608253,34,Transplanted
NYRT,Post-CAS,48.528368153836844,48.95656238729502,145,Transplanted
NYRT,Pre-CAS,49.65937474483259,49.543009873950524,261,Transplanted
NYWN,Post-CAS,41.92105931674571,40.63587023326618,15,Transplanted
NYWN,Pre-CAS,62.142614222517466,60.903099964571524,24,Transplanted
OHLB,Post-CAS,57.427090645878124,62.684050398607454,64,Transplanted
OHLB,Pre-CAS,55.31405193169145,59.665671897570164,190,Transplanted
OHLC,Post-CAS,42.73214428646792,41.49233677069584,56,Transplanted
OHLC,Pre-CAS,49.26366312842954,49.196897195641654,86,Transplanted
OHLP,Post-CAS,50.36605800623143,52.18291114909628,37,Transplanted
OHLP,Pre-CAS,52.319415180739504,55.564024347460396,109,Transplanted
OHOV,Post-CAS,53.18534419044884,50.94652172155732,24,Transplanted
OHOV,Pre-CAS,49.554800392657164,49.41348424335097,56,Transplanted
OKOP,Post-CAS,53.56184643825115,57.52207683580005,103,Transplanted
OKOP,Pre-CAS,47.41739267656534,48.982970813975484,149,Transplanted
ORUO,Post-CAS,58.97158118720358,63.503994657865704,121,Transplanted
ORUO,Pre-CAS,61.93381629107635,65.5644221652078,122,Transplanted
PADV,Post-CAS,54.3793460730066,56.28660112402262,173,Transplanted
PADV,Pre-CAS,57.15462044024199,59.87831235471041,418,Transplanted
PATF,Post-CAS,45.30229450440608,45.272659329080376,79,Transplanted
PATF,Pre-CAS,46.51696729048481,45.66582580576116,212,Transplanted
PRLL,Post-CAS,68.3883319506183,74.3749795654981,33,Transplanted
PRLL,Pre-CAS,61.61761720707537,64.78454035780263,47,Transplanted
SCOP,Post-CAS,54.68639353088479,62.07640108764638,75,Transplanted
SCOP,Pre-CAS,57.696808403243786,59.69976790050738,220,Transplanted
TNDS,Post-CAS,57.26148579408935,57.93021538906197,199,Transplanted
TNDS,Pre-CAS,56.99923384970154,61.17638089922502,335,Transplanted
TNMS,Post-CAS,55.19929327897501,60.600844670015604,38,Transplanted
TNMS,Pre-CAS,57.36749302429162,61.09001500727692,44,Transplanted
TXGC,Post-CAS,49.688659522913305,51.48308429308147,221,Transplanted
TXGC,Pre-CAS,56.299172704735106,57.72841243119877,449,Transplanted
TXSA,Post-CAS,60.71382338020649,63.838088601483065,148,Transplanted
TXSA,Pre-CAS,61.50726077961546,64.62803749975419,272,Transplanted
TXSB,Post-CAS,62.515450300478626,67.19088505848559,357,Transplanted
TXSB,Pre-CAS,59.66858416984499,63.66299244851429,521,Transplanted
UTOP,Post-CAS,41.56564823084747,42.391572561971806,58,Transplanted
UTOP,Pre-CAS,48.12179873537147,48.304166218208096,84,Transplanted
VATB,Post-CAS,56.47700114806329,57.89651808149287,114,Transplanted
VATB,Pre-CAS,55.77909471742764,58.15566929796625,193,Transplanted
WALC,Post-CAS,55.72330586201484,59.272906723519014,157,Transplanted
WALC,Pre-CAS,59.77339451669927,61.09218268246429,243,Transplanted
WIDN,Post-CAS,52.46744756130612,54.08710459224558,56,Transplanted
WIDN,Pre-CAS,54.568014556521106,56.34075577781853,107,Transplanted
WIUW,Post-CAS,39.910793374206946,34.76651655577455,70,Transplanted
WIUW,Pre-CAS,48.472242568509195,50.80037717247696,154,Transplanted
National,All,27.664253825133663,17.043675628556596,62671,Overall
National,All,55.42396894623872,58.09508307717209,17440,Transplanted
