survival_prob,ci_lower,ci_upper,Group,GraftTime
0.9589980679645693,0.9559839203444626,0.9618099569709904,Nationwide,75.0
0.9587170181820337,0.9556933722899108,0.9615384943474546,Nationwide,76.0
0.9584359519204724,0.9554028434461022,0.9612669795144303,Nationwide,77.0
0.9578174973260495,0.9547636914273372,0.9606694174298912,Nationwide,78.0
0.957536381601312,0.9544732252918683,0.9603977408561404,Nationwide,79.0
0.9573114758158501,0.9542408637776839,0.9601803617589761,Nationwide,80.0
0.9571427964767554,0.954066607437923,0.9600173126571196,Nationwide,81.0
0.9568616477291125,0.9537761904770501,0.9597455208064041,Nationwide,82.0
0.9565804659343048,0.9534857727995326,0.9594736634678651,Nationwide,83.0
0.9562430477805366,0.9531373169468819,0.9591473893561667,Nationwide,84.0
0.9558493701157443,0.9527308221815549,0.9587666528297013,Nationwide,85.0
0.9555681717837496,0.952440509123341,0.9584946578714766,Nationwide,86.0
0.9550619254012399,0.9519179336251269,0.9580048998795015,Nationwide,87.0
0.9547806608455216,0.9516276421631628,0.9577327507030483,Nationwide,88.0
0.9544431433786577,0.9512793352597512,0.9574061288961444,Nationwide,89.0
0.9542743846452261,0.9511051991933127,0.9572428006298844,Nationwide,90.0
0.9539930537535265,0.9508149270337614,0.9569704993124628,Nationwide,91.0
0.9538805213968461,0.9506988270673882,0.9568615699004998,Nationwide,92.0
0.9535991739094111,0.9504085815009867,0.9565892087900859,Nationwide,93.0
0.9532615370013814,0.9500603068819639,0.9562623155254577,Nationwide,94.0
0.9529801729113568,0.9497701121844879,0.9559898703687353,Nationwide,95.0
0.9526425360033282,0.9494219191329911,0.9556628956527071,Nationwide,96.0
0.9524174447313088,0.9491898148204648,0.9554448881544977,Nationwide,97.0
0.9521923534592895,0.9489577298649989,0.9552268613262337,Nationwide,98.0
0.9517984437332562,0.9485516273806275,0.9548452682530076,Nationwide,99.0
0.9516296252792416,0.9483776013139101,0.9546817105338575,Nationwide,100.0
0.9514045340072226,0.9481455830940877,0.9544636170617448,Nationwide,101.0
0.951123153274344,0.947855568961791,0.9541909582627202,Nationwide,102.0
0.9507292202483152,0.9474495980386676,0.9538091871491644,Nationwide,103.0
0.9504478395154372,0.9471596533874677,0.9535364589641453,Nationwide,104.0
0.9501101826359838,0.9468117574747577,0.9532091475242601,Nationwide,105.0
0.9498288019031059,0.9465218753359647,0.9529363569109145,Nationwide,106.0
0.9494348688770763,0.946116087418648,0.9525544030377384,Nationwide,107.0
0.9493223165839254,0.9460001580269308,0.9524452633596614,Nationwide,108.0
0.9489846597044712,0.9456523963432399,0.9521178178686411,Nationwide,109.0
0.9485344505318671,0.9451887753960888,0.9516811626624625,Nationwide,110.0
0.9483093459455642,0.9449569909477484,0.9514628090676475,Nationwide,111.0
0.9479716890661101,0.9446093465052052,0.9511352464866054,Nationwide,112.0
0.947690308333232,0.9443196721204069,0.9508622483889155,Nationwide,113.0
0.9473526113472474,0.9439720550490481,0.9505345781646763,Nationwide,114.0
0.9470711971922603,0.9436824029995773,0.9502614908388443,Nationwide,115.0
0.9467335002062768,0.9433348548566091,0.9499337517759475,Nationwide,116.0
0.9465083688822876,0.9431031767365503,0.9497152384520113,Nationwide,117.0
0.9461143890653056,0.9426977794269066,0.9493328007850099,Nationwide,118.0
0.9456641264173267,0.9422345290447314,0.9488956684138043,Nationwide,119.0
0.9451575809383517,0.941713449012978,0.9484038179440898,Nationwide,120.0
0.9445947526283782,0.9411345651420145,0.9478572235964629,Nationwide,121.0
0.9444259041353859,0.9409609190598011,0.9476932262365094,Nationwide,122.0
0.944200772811396,0.9407294045367792,0.9474745495198587,Nationwide,123.0
0.9439756414874064,0.9404979054601434,0.9472558573755501,Nationwide,124.0
0.9436942273324205,0.9402085532023037,0.9469824706332428,Nationwide,125.0
0.9433565102046625,0.9398613405453698,0.9466543561759595,Nationwide,126.0
0.943131365452824,0.9396298843657274,0.9464355943025294,Nationwide,127.0
0.942624759526887,0.9391091307390041,0.9459432968067766,Nationwide,128.0
0.9423433117902545,0.9388198557304598,0.9456697656761764,Nationwide,129.0
0.9422307326956022,0.9387041521914824,0.9455603467673884,Nationwide,130.0
0.9418929954116438,0.9383570636065917,0.9452320680357343,Nationwide,131.0
0.9416678237655969,0.9381256752011566,0.9450131846279983,Nationwide,132.0
0.9412174535503685,0.937662913314116,0.9445753490084396,Nationwide,133.0
0.9409359721658511,0.9373737163548581,0.9443016725625164,Nationwide,134.0
0.9407107870582373,0.937142374847722,0.9440827153654029,Nationwide,135.0
0.9403167131199117,0.9367375613168683,0.9436995062058026,Nationwide,136.0
0.9402041003398972,0.936621886794972,0.9435899908804593,Nationwide,138.0
0.9398662215304808,0.9362748413534361,0.9432613857408197,Nationwide,139.0
0.939584638984633,0.9359856428948111,0.9429875082850002,Nationwide,140.0
0.9393030564387852,0.9356964660660668,0.9427136092288864,Nationwide,141.0
0.9387398913470902,0.9351181767355726,0.9421657468769697,Nationwide,142.0
0.9385709418195819,0.9349447065315138,0.9420013715986717,Nationwide,143.0
0.9383456622655902,0.934713410438302,0.9417821799883734,Nationwide,144.0
0.938176702600095,0.9345399472032574,0.9416177774578074,Nationwide,145.0
0.9379514230461036,0.9343086746144521,0.9413985623750275,Nationwide,146.0
0.9378951031576057,0.9342508585538019,0.9413437565206009,Nationwide,147.0
0.9375571838266178,0.9339039796352824,0.9410149039721335,Nationwide,148.0
0.9374445440496216,0.9337883599497064,0.9409052798442591,Nationwide,149.0
0.9371629107671461,0.93349928932229,0.9406311731754609,Nationwide,150.0
0.9369939104826855,0.9333258352858158,0.9404666801568975,Nationwide,151.0
0.9366558692667083,0.9329789062234899,0.9401376337252796,Nationwide,152.0
0.9360360151840506,0.9323428269527145,0.9395342006652962,Nationwide,153.0
0.935866913169987,0.9321693138126814,0.939369563062798,Nationwide,154.0
0.935359515445979,0.9316487204538583,0.9388755206344156,Nationwide,155.0
0.9350212095147797,0.9313016507060414,0.938546084903665,Nationwide,156.0
