Year,Month,DON_OPO,CAS_Period,DCD,Total_Donors,Used_Donors,Utilization_Rate,DCU_Rate
2018,9,TXSA,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,9,TXSB,Pre-CAS,0.0,29,9.0,0.3103448275862069,0.0
2018,9,TXSB,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,9,UTOP,Pre-CAS,0.0,8,3.0,0.375,0.0
2018,9,UTOP,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,9,VATB,Pre-CAS,0.0,13,4.0,0.3076923076923077,0.0
2018,9,VATB,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,9,WALC,Pre-CAS,0.0,8,0.0,0.0,0.0
2018,9,WALC,Pre-CAS,1.0,5,0.0,0.0,0.0
2018,9,WIDN,Pre-CAS,0.0,7,3.0,0.42857142857142855,0.0
2018,9,WIDN,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,9,WIUW,Pre-CAS,0.0,9,5.0,0.5555555555555556,0.0
2018,9,WIUW,Pre-CAS,1.0,4,0.0,0.0,0.0
2018,10,ALOB,Pre-CAS,0.0,11,4.0,0.36363636363636365,1.0
2018,10,AROR,Pre-CAS,0.0,2,1.0,0.5,0.0
2018,10,AZOB,Pre-CAS,0.0,16,5.0,0.3125,0.0
2018,10,AZOB,Pre-CAS,1.0,7,0.0,0.0,0.0
2018,10,CADN,Pre-CAS,0.0,25,9.0,0.36,1.0
2018,10,CADN,Pre-CAS,1.0,5,0.0,0.0,1.0
2018,10,CAGS,Pre-CAS,0.0,2,0.0,0.0,0.0
2018,10,CAGS,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,10,CAOP,Pre-CAS,0.0,32,13.0,0.40625,0.0
2018,10,CAOP,Pre-CAS,1.0,4,0.0,0.0,0.0
2018,10,CASD,Pre-CAS,0.0,3,0.0,0.0,0.0
2018,10,CASD,Pre-CAS,1.0,6,0.0,0.0,0.0
2018,10,CORS,Pre-CAS,0.0,3,1.0,0.3333333333333333,1.0
2018,10,CORS,Pre-CAS,1.0,3,0.0,0.0,1.0
2018,10,DCTC,Pre-CAS,0.0,11,5.0,0.45454545454545453,0.0
2018,10,DCTC,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,10,FLFH,Pre-CAS,0.0,13,5.0,0.38461538461538464,0.0
2018,10,FLFH,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,10,FLMP,Pre-CAS,0.0,8,1.0,0.125,0.0
2018,10,FLMP,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,10,FLUF,Pre-CAS,0.0,12,3.0,0.25,0.0
2018,10,FLUF,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,10,FLWC,Pre-CAS,0.0,13,3.0,0.23076923076923078,0.0
2018,10,FLWC,Pre-CAS,1.0,4,0.0,0.0,0.0
2018,10,GALL,Pre-CAS,0.0,24,5.0,0.20833333333333334,0.0
2018,10,GALL,Pre-CAS,1.0,5,0.0,0.0,0.0
2018,10,HIOP,Pre-CAS,0.0,1,0.0,0.0,0.0
2018,10,HIOP,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,10,IAOP,Pre-CAS,0.0,4,4.0,1.0,0.0
2018,10,ILIP,Pre-CAS,0.0,21,3.0,0.14285714285714285,0.0
2018,10,ILIP,Pre-CAS,1.0,16,1.0,0.0625,0.0
2018,10,INOP,Pre-CAS,0.0,15,7.0,0.4666666666666667,0.0
2018,10,INOP,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,10,KYDA,Pre-CAS,0.0,5,1.0,0.2,0.0
2018,10,KYDA,Pre-CAS,1.0,4,0.0,0.0,0.0
2018,10,LAOP,Pre-CAS,0.0,15,1.0,0.06666666666666667,0.0
2018,10,LAOP,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,10,MAOB,Pre-CAS,0.0,21,6.0,0.2857142857142857,0.0
2018,10,MAOB,Pre-CAS,1.0,7,0.0,0.0,0.0
2018,10,MDPC,Pre-CAS,0.0,18,4.0,0.2222222222222222,0.0
2018,10,MDPC,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,10,MIOP,Pre-CAS,0.0,21,12.0,0.5714285714285714,1.0
2018,10,MIOP,Pre-CAS,1.0,10,0.0,0.0,1.0
2018,10,MNOP,Pre-CAS,0.0,7,0.0,0.0,0.0
2018,10,MNOP,Pre-CAS,1.0,5,0.0,0.0,0.0
2018,10,MOMA,Pre-CAS,0.0,10,4.0,0.4,1.0
2018,10,MOMA,Pre-CAS,1.0,8,0.0,0.0,1.0
2018,10,MSOP,Pre-CAS,0.0,4,2.0,0.5,1.0
2018,10,MSOP,Pre-CAS,1.0,2,0.0,0.0,1.0
2018,10,MWOB,Pre-CAS,0.0,14,5.0,0.35714285714285715,0.0
2018,10,MWOB,Pre-CAS,1.0,8,0.0,0.0,0.0
2018,10,NCCM,Pre-CAS,0.0,5,2.0,0.4,0.0
2018,10,NCCM,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,10,NCNC,Pre-CAS,0.0,14,5.0,0.35714285714285715,0.0
2018,10,NCNC,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,10,NEOR,Pre-CAS,0.0,4,2.0,0.5,0.0
2018,10,NEOR,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,10,NJTO,Pre-CAS,0.0,6,1.0,0.16666666666666666,0.0
2018,10,NMOP,Pre-CAS,0.0,3,0.0,0.0,0.0
2018,10,NVLV,Pre-CAS,0.0,15,4.0,0.26666666666666666,0.0
2018,10,NYAP,Pre-CAS,0.0,2,0.0,0.0,0.0
