Year,Month,OPO,OPO_Zip,OPO_Lat,OPO_Lon,Center,Center_Zip,Center_Lat,Center_Lon,Count,DCU_Rate
2018,1,OHLB,44128,41.4416,-81.5486,VAUV,22908,38.0401,-78.4851,1,0.0
2018,1,OHLC,45420,39.7171,-84.1342,INIM,46202,39.7851,-86.1595,1,0.0
2018,1,OHLC,45420,39.7171,-84.1342,MIUM,48109,42.2776,-83.7409,1,0.0
2018,1,OHLC,45420,39.7171,-84.1342,OHOU,43210,40.0028,-83.0164,1,0.0
2018,1,OHLP,43212,39.9874,-83.0456,MIUM,48109,42.2776,-83.7409,1,0.0
2018,1,OHLP,43212,39.9874,-83.0456,OHOU,43210,40.0028,-83.0164,1,0.0
2018,1,OKOP,73132,35.5583,-97.6375,TXSP,75390,32.7673,-96.7776,1,0.0
2018,1,PADV,19123,39.966,-75.151,MAMG,02114,42.3611,-71.0682,4,0.0
2018,1,PADV,19123,39.966,-75.151,MAPB,02115,42.3427,-71.0922,2,0.0
2018,1,PADV,19123,39.966,-75.151,MDUM,21201,39.2946,-76.6252,1,0.0
2018,1,PADV,19123,39.966,-75.151,NYMA,10467,40.8737,-73.8712,1,0.0
2018,1,PADV,19123,39.966,-75.151,PATU,19140,40.0118,-75.1456,3,0.0
2018,1,PADV,19123,39.966,-75.151,PAUP,19104,39.9597,-75.2024,4,0.0
2018,1,PADV,19123,39.966,-75.151,VAFH,22042,38.8635,-77.1939,1,0.0
2018,1,PATF,15238,40.5346,-79.8805,OHOU,43210,40.0028,-83.0164,2,1.0
2018,1,PATF,15238,40.5346,-79.8805,PAPT,15213,40.444,-79.9552,1,1.0
2018,1,PATF,15238,40.5346,-79.8805,PATU,19140,40.0118,-75.1456,2,1.0
2018,1,SCOP,29414,32.8215,-80.0568,NCMH,27514,35.9203,-79.0372,1,0.0
2018,1,SCOP,29414,32.8215,-80.0568,PATU,19140,40.0118,-75.1456,1,0.0
2018,1,SCOP,29414,32.8215,-80.0568,SCMU,29425,32.7862,-79.9471,1,0.0
2018,1,TNDS,37228,36.1901,-86.8053,INIM,46202,39.7851,-86.1595,4,0.0
2018,1,TNDS,37228,36.1901,-86.8053,KYUK,40536,38.0321,-84.5084,1,0.0
2018,1,TNDS,37228,36.1901,-86.8053,TNVU,37212,36.1337,-86.8006,1,0.0
2018,1,TNMS,38018,35.1556,-89.7762,MOBH,63110,38.6185,-90.2564,1,0.0
2018,1,TXGC,77054,29.6852,-95.4017,TXBC,78229,29.5042,-98.5697,1,0.0
2018,1,TXGC,77054,29.6852,-95.4017,TXHI,77030,29.7041,-95.401,1,0.0
2018,1,TXSA,78229,29.5042,-98.5697,FLJM,33136,25.7864,-80.2042,1,0.0
2018,1,TXSA,78229,29.5042,-98.5697,TXHI,77030,29.7041,-95.401,2,0.0
2018,1,TXSA,78229,29.5042,-98.5697,TXSP,75390,32.7673,-96.7776,1,0.0
2018,1,TXSB,75231,32.8756,-96.7495,FLTG,33606,27.9475,-82.4584,1,0.0
2018,1,TXSB,75231,32.8756,-96.7495,TXMH,77030,29.7041,-95.401,3,0.0
2018,1,TXSB,75231,32.8756,-96.7495,TXSP,75390,32.7673,-96.7776,1,0.0
2018,1,UTOP,84107,40.6568,-111.8904,UTMC,84148,40.7568,-111.8376,1,0.0
2018,1,VATB,23453,36.776,-76.0766,MDJH,21287,39.2975,-76.5927,1,0.0
2018,1,VATB,23453,36.776,-76.0766,PAPT,15213,40.444,-79.9552,2,0.0
2018,1,VATB,23453,36.776,-76.0766,VAFH,22042,38.8635,-77.1939,1,0.0
2018,1,WALC,98006,47.5614,-122.1552,AZUA,85719,32.2474,-110.9491,1,0.0
2018,1,WALC,98006,47.5614,-122.1552,WAUW,98195,47.6564,-122.3048,5,0.0
2018,1,WIDN,53233,43.0407,-87.9357,ILLU,60141,41.8623,-87.8355,1,0.0
2018,1,WIDN,53233,43.0407,-87.9357,OHOU,43210,40.0028,-83.0164,1,0.0
2018,1,WIUW,53711,43.0356,-89.4526,MNUM,55454,44.9682,-93.2429,1,0.0
2018,2,AROR,72205,34.751,-92.3455,TXSP,75390,32.7673,-96.7776,1,0.0
2018,2,AZOB,85281,33.4227,-111.9261,AZSJ,85013,33.5085,-112.0827,6,0.0
2018,2,AZOB,85281,33.4227,-111.9261,AZUA,85719,32.2474,-110.9491,3,0.0
2018,2,AZOB,85281,33.4227,-111.9261,CAUH,90033,34.0487,-118.2084,1,0.0
2018,2,CADN,94583,37.7562,-121.9522,CASU,94305,37.4236,-122.1619,1,1.0
2018,2,CAGS,95691,38.5673,-121.5516,CASU,94305,37.4236,-122.1619,1,0.0
2018,2,CAOP,91702,34.1248,-117.9031,CACS,90048,34.0737,-118.372,1,1.0
2018,2,CAOP,91702,34.1248,-117.9031,CASD,92037,32.8455,-117.2521,1,1.0
2018,2,CAOP,91702,34.1248,-117.9031,CASF,94143,37.7631,-122.4586,1,1.0
2018,2,CAOP,91702,34.1248,-117.9031,CASU,94305,37.4236,-122.1619,1,1.0
2018,2,CAOP,91702,34.1248,-117.9031,CAUC,90095,33.7866,-118.2987,1,1.0
